"sample","group"
"TCGA-BH-A0C0-11A","normal"
"TCGA-BH-A18J-11A","normal"
"TCGA-AC-A2FM-11B","normal"
"TCGA-BH-A18N-11A","normal"
"TCGA-BH-A0DQ-11A","normal"
"TCGA-GI-A2C8-11A","normal"
"TCGA-BH-A0H5-11A","normal"
"TCGA-BH-A0DZ-11A","normal"
"TCGA-BH-A0DL-11A","normal"
"TCGA-BH-A18M-11A","normal"
"TCGA-E9-A1N9-11A","normal"
"TCGA-BH-A18Q-11A","normal"
"TCGA-BH-A1FM-11B","normal"
"TCGA-BH-A1EO-11A","normal"
"TCGA-BH-A1F8-11B","normal"
"TCGA-BH-A0DG-11A","normal"
"TCGA-E9-A1RB-11A","normal"
"TCGA-BH-A0DO-11A","normal"
"TCGA-A7-A13E-11A","normal"
"TCGA-BH-A1FR-11B","normal"
"TCGA-E2-A1IU-01A","tumor"
"TCGA-A7-A26I-01B","tumor"
"TCGA-A8-A07S-01A","tumor"
"TCGA-A1-A0SK-01A","tumor"
"TCGA-AC-A6IV-01A","tumor"
"TCGA-AR-A2LN-01A","tumor"
"TCGA-A7-A26I-01A","tumor"
"TCGA-AO-A0JM-01A","tumor"
"TCGA-EW-A1J3-01A","tumor"
"TCGA-E2-A14N-01A","tumor"
"TCGA-E9-A54X-01A","tumor"
"TCGA-E2-A15L-01A","tumor"
"TCGA-BH-A28Q-01A","tumor"
"TCGA-A2-A0D0-01A","tumor"
"TCGA-B6-A0I5-01A","tumor"
"TCGA-A2-A0YL-01A","tumor"
"TCGA-AC-A3QQ-01B","tumor"
"TCGA-A2-A0D4-01A","tumor"
"TCGA-A8-A07I-01A","tumor"
"TCGA-A1-A0SH-01A","tumor"
